mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,f1,f2,f3,f4
xyt2,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.013051288266269416,0.008172640186781516,3.8836876030409485e-4,1.6078914934597473e-18
xyt2,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.010933083233370687,0.0010990166863068837,1.8677143997376358e-4,8.823113225855001e-20
xyt2,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.010750384302159294,9.612254999581259e-4,2.0033879064235177e-4,-5.3475302118345477e-20
xyt2,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.013928358211378866,0.008997498600007866,0.00150727684206947,4.526051210362544e-4
xyt2,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.014765436618332533,0.010358135999789025,0.005627609193969714,0.003538879470815134
xyt2,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.02485059103254569,0.019550451891237528,0.012590871728595987,0.009358554713669183
xyt2,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.10085865131873814,0.09206237291119077,0.08437969614249045,0.07635950637633893
xyt2,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.02134018193063289,0.009574070789956238,8.760423672434694e-4,2.891337185121785e-18
xyt2,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.017037793530297923,0.002801045538841794,4.929619998442977e-4,5.908650642979907e-19
xyt2,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.015126978410150262,0.0023692934033264857,3.2874475978122514e-4,3.510781119450433e-19
xyt2,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.023939460536045752,0.012068824568700101,0.003392106880687629,6.989381757180888e-4
xyt2,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.03508024365943638,0.019182209799542757,0.010313232842704603,0.004718607277154267
xyt2,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.05880768238072973,0.034189524497585326,0.021848093939591445,0.011323320837796401
xyt2,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.17868767269484426,0.13706009917587783,0.10206825582424428,0.0735998163662966
xyt2,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,0.10339251669251501,0.026581999987393076,0.003388430547857546,2.0285638491902005e-18
xyt2,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,0.09370326650243821,0.013639791692790558,0.0023696597322155253,3.0594254372414153e-18
xyt2,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.045357352432594214,0.00783100598691697,8.924748940638213e-4,3.621824561895062e-19
xyt2,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.1174436051197798,0.037888621513557874,0.011882822159859053,0.0020000874495805
xyt2,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.1781555119317804,0.07970345295837923,0.038836150901296246,0.013999026306796553
xyt2,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.23255075460123276,0.13019073487256605,0.0744781501134295,0.031600116809285705
xyt2,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.4466193399736279,0.3450434602498393,0.25556915356041154,0.17598684894807526
xyt2,noise,50,100,100,100,100,100,TRUE,123,321,1.6389327964583716e-30,4.3977603344624804e-46,6.586108003832373e-47,-4.444806756353687e-47
xyt2,seplow,50,100,100,100,100,100,TRUE,123,321,7.772666713411747e-30,2.2496627466504472e-45,5.687632114239299e-46,-5.984371834548965e-47
xyt2,sephigh,50,100,100,100,100,100,TRUE,123,321,4.083400015229222e-30,2.4632718585903272e-45,2.19639856043736e-46,5.050478197334799e-47
