mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,f1,f2,f3,f4,f5,f6,f7,f8
xyt4,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.01705162590773274,0.010127013500417979,0.0011329519591934786,1.6111769678500984e-18,3.917243520959132e-19,2.4966910829529322e-20,-3.845580495722223e-19,-1.3535011102583163e-18
xyt4,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.01643353529017999,0.009945624554743484,0.0012261891161862964,1.3418551634362015e-18,3.368125207049015e-19,1.4178211708595473e-20,-3.089484201662225e-19,-1.1717920964867493e-18
xyt4,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.014595788118166596,0.009277253338058717,0.0011190832357889924,1.8663184137081985e-18,3.8934744915176337e-19,3.522653426306658e-20,-2.6583772854234616e-19,-8.910445708252638e-19
xyt4,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.018955920099074746,0.012916998547640746,0.008637889934171358,0.002255103839943455,0.0011068320494325705,4.1543020792886645e-4,9.590871994204606e-5,-1.7426317399462094e-19
xyt4,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.018930501410827017,0.013721554394866473,0.010349382716618035,0.007097922548326691,0.005357779806342338,0.003968123545187876,0.0028870817147945223,0.0017673697830288698
xyt4,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.030522471015480855,0.02455787003246402,0.019613292673140444,0.015279477885445472,0.012557274660143423,0.01038191843876888,0.008250681294179765,0.006439244790130271
xyt4,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.10886802548290625,0.10128325249719906,0.09527385734626356,0.08952962599914119,0.08449885841223612,0.07953975454506378,0.07488101906022444,0.06876870330351594
xyt4,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.028098565233618953,0.013652350530118686,0.002850808764707526,3.4838047376989594e-18,4.7629001586139905e-19,-6.23485618836496e-20,-4.918288341101539e-19,-1.742716568468275e-18
xyt4,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.027574497939093803,0.013760702167257765,0.003093497558285157,2.8880255996734357e-18,5.531684938984883e-19,4.3257834918347177e-20,-5.761294801081362e-19,-2.0319631964931994e-18
xyt4,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.025973404488173354,0.011731347929343012,0.002659059497949793,2.260751804376605e-18,4.179811182451972e-19,1.87928062338926e-20,-4.508314817990505e-19,-1.6429534508440124e-18
xyt4,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.03626787190408952,0.020502495589985695,0.012186406243107479,0.005370144539537073,0.002226040114422637,7.703330706487335e-4,1.229436319552232e-4,4.243645607151756e-19
xyt4,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.049799121162585724,0.03204142781568003,0.02161203629817785,0.015020324653504976,0.00985090408430041,0.006567819507666637,0.0040703627728485075,0.001796122577434078
xyt4,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.07375638457183029,0.0522453447553725,0.039925747549166925,0.02907986963859805,0.022710102397293125,0.016610089728455252,0.011342545902016306,0.006562620990796044
xyt4,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.2099884237072131,0.17474754260809486,0.14618558422523628,0.12905210003217468,0.11121378111676013,0.09557476493665971,0.0799826861975685,0.05991909353177171
xyt4,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,0.16226130916051063,0.05285046499529318,0.012010962142289115,1.4704678134782987e-17,2.9544730959277156e-18,9.476936047239762e-21,-2.253299586312934e-18,-8.410195732619506e-18
xyt4,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,0.16599023548157718,0.05073444813265947,0.015324699864117107,1.847910899991772e-17,2.3569741125697184e-18,-2.499614908208177e-19,-3.0642795727336687e-18,-1.0640686215594893e-17
xyt4,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.08431461475859256,0.028440388266788737,0.005441432353264928,6.360105085729178e-18,1.3621278146829729e-18,2.6160609495669654e-19,-1.2246110117549262e-18,-5.713177817319993e-18
xyt4,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.18695370057600644,0.08372846538258151,0.039621100764668994,0.017956697514168122,0.006760100001510997,0.0021441399459142425,4.0535073695174357e-4,5.087256291909542e-19
xyt4,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.25304011044936375,0.15325140598260958,0.09339707814480748,0.05787046545972027,0.034557145371766004,0.019434778687395113,0.009700884898471818,0.003806790273903657
xyt4,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.3091232087401098,0.20744986089050316,0.14841350537795026,0.1044950688338185,0.07529842149664491,0.04665161314889061,0.026886770932669706,0.01337390638933597
xyt4,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.5217357035604692,0.43965936220240415,0.3814222140434111,0.3259733530931789,0.27953125069098556,0.23027220827983277,0.17471996209754245,0.12364514122572609
xyt4,noise,50,100,100,100,100,100,TRUE,123,321,2.250300426621436e-27,9.20063697201205e-43,8.200685782746637e-44,7.22097415540335e-45,6.453893454187071e-46,-5.2439055286186313e-45,-5.366598640265912e-45,-6.242418517992852e-44
xyt4,seplow,50,100,100,100,100,100,TRUE,123,321,8.670556041621683e-30,1.0340563102270363e-45,2.202702891583962e-46,5.888821350473017e-47,3.1231481561416828e-49,-2.430620567002964e-47,-5.703056259123507e-47,-1.0940186348583495e-45
xyt4,sephigh,50,100,100,100,100,100,TRUE,123,321,6.342603252354916e-29,1.3728773972095156e-44,4.186903476011163e-45,9.174744863928393e-46,2.393485116473925e-46,-8.501348943286234e-48,-9.047673585391545e-47,-9.578986244969376e-46
