mu,epsilon,ns,nt,m,xblocks,yblocks,tblocks,random_eigen,seed_spatial,seed_sim,stationary_lower_quartile,stationary_median,stationary_upper_quartile,nonstationary_lower_quartile,nonstationary_median,nonstationary_upper_quartile
osc,noise,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,1.3722292484331735e-6,4.234610988072116e-6,9.780777182787808e-6,5.259231825280069e-4,0.00115451673134047,0.002942045833811465
osc,noise,100,300,100,50:50,100,50:50,FALSE,123,321,0.30066826337305147,0.6510796619085746,0.9001248571281618,0.42311970969819984,0.715725200723413,0.9435038800630069
osc,noise,100,300,100,100,50:50,50:50,FALSE,123,321,0.30130921484711554,0.5720092583757759,0.8718047401628065,0.4204539294247641,0.7534285226627585,0.9277826999837655
osc,seplow,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,3.0389894978709425e-6,1.0439348088206479e-5,4.7092813409288244e-5,6.888462565055931e-4,0.00146154529123741,0.0052702906272857775
osc,seplow,100,300,100,50:50,100,50:50,FALSE,123,321,0.20557946783757466,0.6912452818368149,0.8829671846427434,0.4552072560119904,0.717947353242557,0.8746938406575683
osc,seplow,100,300,100,100,50:50,50:50,FALSE,123,321,0.2711219673632558,0.6442028286436805,0.8992128400182995,0.45524860148463037,0.8044516548919123,0.951933938168483
osc,sephigh,100,300,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,2.0901865821632877e-5,7.284786816013592e-5,2.3670747595307763e-4,0.004569264721056315,0.013951150785865344,0.04034983300881579
osc,sephigh,100,300,100,50:50,100,50:50,FALSE,123,321,0.19939402870376913,0.628546913222696,0.8882945433683063,0.41596036366928707,0.7381237631881874,0.9132797335538094
osc,sephigh,100,300,100,100,50:50,50:50,FALSE,123,321,0.2237419123921493,0.6370271777468188,0.9334660988713769,0.497325219907105,0.8156271384119735,0.9645998877078253
osc,noise,100,300,100,100,100,100,TRUE,123,321,0.04808766731443637,0.15154046164025492,0.5554576067483769,0.6324706660955625,0.9355188317705425,1.029995719730084
osc,seplow,100,300,100,100,100,100,TRUE,123,321,0.018978259343993255,0.08336789393131624,0.3887977162961835,0.692982534647665,0.952736149594675,1.1224574604554203
osc,sephigh,100,300,100,100,100,100,TRUE,123,321,0.017924922787523594,0.07440866337330275,0.35209287623671026,0.7255592775455644,0.9447456921271623,1.1203295604519068
xyt2,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.018606712045573105,0.041888541530234864,0.08734759569795489,0.018992390400768756,0.03775820220558469,0.09584193971434704
xyt2,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.2843890171350677,0.5398488187842336,0.8036205529554284,0.1636598497936529,0.3770912475360051,0.7465394276023608
xyt2,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.2461209221267513,0.5650975235457538,0.8394552318033922,0.1962903248326477,0.534965609682911,0.8669031414698828
xyt2,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.021706845587154366,0.04284932661666742,0.0879408846576832,0.02333536796316786,0.04710708095586887,0.10504324689565059
xyt2,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.03021646376455856,0.08456457157277561,0.19640412890633502,0.0456026618657573,0.13476878593240676,0.25656344487649896
xyt2,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.04092322149949698,0.0803569187150878,0.19863662997451212,0.04343521666380412,0.11032420365877578,0.3029399914896403
xyt2,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.12960254783606492,0.3302209233376769,0.7274120986081758,0.15965267904629485,0.41966556196508265,0.7869192376492751
xyt2,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.027642924938981316,0.10085551356233874,0.35682179946488346,0.028669024019570527,0.1152979914586708,0.3955806602652296
xyt2,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.15176300347450758,0.6236931199526724,0.8475173367769654,0.2727160471716533,0.6162628958890858,0.8569437052724806
xyt2,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.11488730604017508,0.5302107361059814,0.8540319189314813,0.14659697331852992,0.5933023628597714,0.8699217115287381
xyt2,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.026988189575430633,0.11071345869284535,0.4844467245776548,0.024533616925209282,0.11596442138757487,0.45503745560387066
xyt2,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.1193401554641591,0.4297749194080555,0.9009124560369965,0.13761267292602952,0.49319084094632804,0.8358064182873026
xyt2,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.13002398949444022,0.4492124926339968,0.8545075687918036,0.11969910727721983,0.42584674901207265,0.8812430446799322
xyt2,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.243793875538297,0.6870132071554651,0.9568475397841403,0.23502335341446828,0.7490466634499735,0.9578136082929419
xyt2,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,0.17600989505194176,0.4034127303389544,0.8299261029719418,0.16933051325365542,0.4302774968122434,0.7684710897905496
xyt2,sephigh,50,100,100,50:50,100,50:50,FALSE,123,321,0.31077957583835836,0.6891673083946717,0.9817643471729245,0.3014294411245487,0.6562136276391004,0.9188237789799132
xyt2,sephigh,50,100,100,50:50,50:50,100,FALSE,123,321,0.15415575444913487,0.47067114634592044,0.8870451230376554,0.2067746741447899,0.6785509530572309,0.9301342623048675
xyt2,sephigh,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.1468142498739538,0.43574367081513465,0.879863913298854,0.1500478587403818,0.4888163128679386,0.8517896186514885
xyt2,sephigh,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.34010158683047864,0.6161404368574553,0.8864759716223385,0.29554471362330015,0.7209674776394828,0.9431995409547289
xyt2,sephigh,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.32823627991733334,0.6388992475875879,0.9763777962598772,0.2764799761086172,0.657218530505653,0.93604272544804
xyt2,sephigh,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.39830309128647384,0.7233115811710271,0.9508454915288913,0.40913177015092816,0.7549710274518686,0.958587728757219
xyt3,noise,50,100,100,100,50:50,50:50,FALSE,123,321,0.3911219893234918,0.713201124587928,0.9270852494514455,0.39748567375683075,0.7473326463434751,0.9653284804693025
xyt3,noise,50,100,100,50:50,100,50:50,FALSE,123,321,0.4364539824475526,0.7081378033852306,0.9782209388875656,0.3253229027251628,0.7231281560439965,0.9222584584848879
xyt3,noise,50,100,100,50:50,50:50,100,FALSE,123,321,0.442101801886509,0.7754070265997057,0.9714101531887835,0.3574666533991487,0.5904810717547462,0.9345329762230031
xyt3,noise,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.07517294375765317,0.143284351851951,0.28702222426050367,0.08181647343899626,0.15492060087087628,0.2823184465270559
xyt3,noise,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.14089728489055686,0.29986993979282084,0.5709883940563811,0.160853328776169,0.31344324396660805,0.6061196839823492
xyt3,noise,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.14432375270222655,0.30443047978170795,0.6081274662609293,0.13076607752317787,0.36510832705381957,0.6690160106840825
xyt3,noise,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.4704649405733459,0.8221154996647417,1.0032888626321428,0.43287514008801653,0.7012697509950852,1.0469466261490241
xyt3,seplow,50,100,100,100,50:50,50:50,FALSE,123,321,0.34410090878977473,0.7939323416744796,0.9934375921141961,0.299127781188325,0.6452087941434088,0.8627718690572541
xyt3,seplow,50,100,100,50:50,100,50:50,FALSE,123,321,0.4417642404348714,0.7250007130369339,0.9683924632570662,0.3375347672054548,0.6276314365322985,0.8917555759587172
xyt3,seplow,50,100,100,50:50,50:50,100,FALSE,123,321,0.41476889369360076,0.7934490409154888,0.9868304113236015,0.43695202796232196,0.7736206189980084,0.9760785277778101
xyt3,seplow,50,100,100,50:50,50:50,50:50,FALSE,123,321,0.13792852124422283,0.4078594234720096,0.770237559879065,0.1868599216529889,0.34100870205250783,0.692261235857537
xyt3,seplow,50,100,100,33:33:34,33:33:34,33:33:34,FALSE,123,321,0.4870098554136845,0.8472929152592256,1.0242779938057642,0.43692645455387397,0.8573821362119847,1.020170477924818
xyt3,seplow,50,100,100,25:25:25:25,25:25:25:25,25:25:25:25,FALSE,123,321,0.5968704978659243,0.867626450310206,1.0135977891134722,0.44561898580491155,0.7959723975241719,0.9843424756352896
xyt3,seplow,50,100,100,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,10:10:10:10:10:10:10:10:10:10,FALSE,123,321,0.5587993115586098,0.9592403487790819,1.0902793083818336,0.6248417060337065,0.964182576670946,1.0570951094839207
xyt3,sephigh,50,100,100,100,50:50,50:50,FALSE,123,321,0.56452764077179,0.9460014871787052,1.1575132744239667,0.630501572916462,0.9003029756038612,1.0236741939800835
